1,11,44,10,1205
2,16,77,4,948
3,14,33,8,512
4,7,2,10,640
5,4,79,3,340
6,19,33,4,1346
7,3,91,3,1457
8,17,17,9,304
9,12,58,3,497
10,12,57,1,550
11,17,1,9,1478
12,19,75,5,649
13,1,7,6,1169
14,4,42,8,745
15,1,63,2,742
16,20,36,2,671
17,10,8,5,242
18,20,13,8,649
19,3,67,3,1326
20,4,34,5,354
21,7,38,6,1156
22,2,26,6,842
23,6,58,10,803
24,6,27,8,398
25,7,34,5,240
26,14,40,6,1046
27,4,96,6,130
28,2,27,4,467
29,9,17,4,1387
30,2,65,9,736
31,13,78,6,1380
32,19,11,1,1218
33,1,16,8,1325
34,9,72,10,1207
35,5,73,6,831
36,1,95,1,927
37,12,58,9,870
38,15,84,6,559
39,11,32,7,236
40,1,74,8,682
41,17,5,9,1257
42,20,77,10,1137
43,1,55,10,511
44,3,89,3,185
45,14,42,6,692
46,1,70,6,1439
47,7,45,8,510
48,18,17,3,1344
49,20,25,8,1192
50,12,87,5,1292
51,4,67,10,1017
52,15,97,2,469
53,1,93,3,1359
54,19,16,7,250
55,2,2,8,1387
56,12,77,7,1313
57,3,67,4,81
58,20,52,4,1250
59,11,50,10,897
60,9,30,10,1337
61,11,2,7,797
62,9,9,8,65
63,12,7,9,1162
64,7,47,2,114
65,10,91,3,242
66,18,63,1,543
67,7,26,7,1432
68,11,17,2,913
69,1,45,3,257
70,18,55,9,1493
71,15,52,9,557
72,14,41,5,1301
73,20,49,2,1214
74,2,76,2,646
75,8,24,1,1326
76,20,68,5,1351
77,2,99,7,1347
78,20,36,6,267
79,4,24,6,838
80,12,14,2,961
81,19,26,10,209
82,17,41,8,324
83,3,30,7,948
84,12,59,1,1461
85,7,27,4,1276
86,10,9,4,1435
87,15,72,9,1176
88,2,59,5,737
89,20,18,1,800
90,12,3,7,1191
91,8,55,6,338
92,8,13,1,867
93,19,73,9,542
94,1,18,8,1013
95,6,25,9,479
96,3,49,7,408
97,9,27,3,514
98,9,34,3,1004
99,20,5,10,1113
100,7,86,7,1248
101,1,2,3,1148
102,6,64,9,1099
103,5,69,3,281
104,15,47,2,494
105,14,22,5,1299
106,17,59,2,93
107,14,13,3,1380
108,2,30,8,776
109,12,21,4,916
110,14,33,2,831
111,14,87,10,965
112,9,3,8,1156
113,14,52,1,392
114,12,66,8,1333
115,9,71,7,1107
116,6,5,6,1342
117,16,11,8,1000
118,19,10,2,652
119,16,80,7,1140
120,14,73,10,1149
121,10,50,7,705
122,2,9,7,1010
123,16,93,6,346
124,8,29,8,800
125,7,55,5,818
126,3,39,7,802
127,6,12,1,612
128,2,46,4,578
129,6,71,6,853
130,14,75,1,740
131,9,32,1,764
132,19,5,10,1369
133,9,40,6,127
134,18,65,9,160
135,9,33,1,1052
136,14,97,6,285
137,13,49,6,1348
138,2,14,5,1170
139,18,88,4,989
140,19,52,2,1452
141,3,23,1,119
142,7,21,3,522
143,14,70,2,699
144,13,93,2,1323
145,3,81,1,970
146,11,59,8,269
147,16,82,5,413
148,16,84,8,257
149,5,29,8,627
150,5,6,2,168
151,4,65,6,1170
152,12,5,8,1051
153,3,41,4,815
154,14,6,2,1110
155,6,58,1,851
156,15,100,3,1152
157,20,15,5,612
158,15,93,10,411
159,7,29,9,521
160,8,3,3,909
161,19,79,2,1335
162,16,91,10,185
163,5,75,5,463
164,19,25,1,443
165,16,22,8,254
166,1,19,6,1368
167,3,33,6,1085
168,5,76,4,982
169,13,48,10,1169
170,14,86,4,1018
171,20,4,9,1177
172,3,86,9,653
173,8,70,8,737
174,9,44,10,205
175,8,12,8,1007
176,8,74,10,348
177,11,88,5,1052
178,19,9,7,1145
179,4,23,2,903
180,14,93,2,68
181,9,40,6,80
182,8,38,6,785
183,9,61,7,832
184,18,78,6,940
185,1,28,9,1308
186,9,100,2,1117
187,13,83,3,1293
188,8,29,2,72
189,9,76,8,327
190,15,59,9,847
