1,109,20746,1982-10-08
2,31,8981,1982-07-26
3,109,27829,1978-10-05
4,3,17129,1975-02-22
5,11,19241,2019-07-03
6,96,17537,1990-03-21
7,56,15474,2013-02-18
8,78,11791,2002-12-26
9,31,7313,2001-09-23
10,35,24895,1993-03-06
11,7,22725,1975-12-31
12,119,24503,2014-02-11
13,25,7307,2019-09-17
14,115,24762,1986-05-09
15,26,11503,1972-12-17
16,32,26002,1977-12-10
17,40,10168,1970-08-16
18,121,29002,1994-05-16
19,11,25140,1994-02-01
20,34,5150,2004-04-25
21,45,26596,1979-05-05
22,33,26820,1999-02-26
23,13,6246,1985-05-08
24,72,16674,2017-12-21
25,116,18034,1988-08-14
26,70,26523,1988-07-21
27,3,16619,2014-12-29
28,17,29755,1970-05-07
29,149,26251,1984-06-14
30,81,25575,1978-12-12
31,32,23202,1988-02-28
32,30,18470,1971-04-08
33,124,21274,1983-09-04
34,83,24168,2005-01-04
35,100,26236,2010-03-18
36,115,18973,2006-08-06
37,116,14968,1991-07-04
38,97,9652,1972-05-30
39,90,27485,1985-09-26
40,32,13141,1971-11-04
41,104,20132,1989-03-04
42,103,14366,2000-06-21
43,38,12763,1988-12-10
44,62,15043,1989-03-17
45,148,23504,1973-10-25
46,147,14272,1989-06-30
47,77,14653,1971-07-25
48,33,12340,1984-05-25
49,79,8194,2002-07-02
50,19,14226,2003-11-28
51,81,29611,1971-05-22
52,70,26954,1979-10-12
53,5,13806,1995-07-08
54,109,27309,1987-12-21
55,45,23702,1987-06-22
56,82,23198,1974-10-13
57,144,5014,2008-09-20
58,57,28559,1987-12-30
59,72,18503,2002-04-06
60,45,8851,1983-08-30
61,144,28855,1990-02-28
62,59,29217,1994-11-18
63,54,26283,1993-03-04
64,92,21692,2009-06-26
65,113,10340,2010-03-31
66,116,18582,1972-05-05
67,92,24204,1979-11-21
68,67,7390,2000-05-08
69,142,8071,1996-05-22
70,5,18090,1978-11-17
71,13,25814,1994-04-19
72,50,7883,1993-02-07
73,54,17727,1977-06-17
74,20,16330,1999-09-11
75,103,7585,1982-11-08
76,75,20057,2014-09-27
77,107,29941,1987-09-03
78,68,14525,1995-11-30
79,89,10285,1996-12-30
80,83,16027,2003-06-05
81,61,15682,2009-12-12
82,23,28150,1999-04-01
83,112,26334,1970-12-16
84,11,6849,1988-09-05
85,40,12066,1976-12-02
86,35,20151,1994-02-01
87,28,8073,1995-06-11
88,15,11571,2005-12-23
89,148,8423,1993-02-02
90,71,8866,1975-06-28
91,43,20894,1976-07-04
92,134,28049,1988-02-13
93,97,18325,2001-12-22
94,28,5352,2014-02-23
95,134,10496,1991-05-03
96,89,16300,2009-04-05
97,147,15771,1996-09-01
98,112,10240,1979-10-01
99,68,24978,2015-04-04
100,37,28473,2004-07-31
101,66,6694,2001-08-08
102,97,21666,2006-12-02
103,87,14300,1979-07-04
104,147,25005,1998-12-02
105,129,27870,1970-04-01
106,45,21686,2008-08-09
107,49,22596,2002-01-11
108,85,18288,2007-12-02
109,59,27250,1986-01-31
110,26,11644,1985-05-07
111,72,22000,2000-05-29
112,66,12382,1971-10-29
113,15,18418,2009-05-29
114,62,18390,1974-04-22
115,88,17248,1977-10-26
116,19,13251,2000-12-04
117,130,25631,2010-01-22
118,89,28998,2003-01-30
119,148,5573,2004-09-01
120,65,17816,1994-12-03
121,137,29414,2000-04-25
122,147,15373,1997-05-03
123,135,29696,2008-01-08
124,41,27847,1980-09-27
125,54,19229,1978-02-09
126,21,5908,2007-08-02
127,103,12699,2002-09-15
128,93,18566,1979-12-12
129,61,26616,1996-04-01
130,57,15799,1987-09-03
131,40,18719,1971-09-20
132,58,20723,1976-06-11
133,119,19829,2011-04-07
134,108,12500,1999-08-15
135,102,26919,1983-08-14
136,32,6927,1985-11-19
137,29,8954,1988-12-22
138,128,23062,1970-11-09
139,149,8356,1981-06-18
140,25,6184,2005-06-01
141,45,12047,1970-06-09
142,103,20840,1971-01-27
143,60,5948,2016-07-16
144,142,6153,2016-01-12
145,133,28375,1986-02-11
146,148,17840,1991-07-04
147,120,10622,1987-05-14
148,41,27390,2006-01-07
149,104,6513,1990-04-29
150,44,8485,2014-05-05
151,115,16418,1975-08-14
152,117,29523,2000-05-05
153,12,19318,2011-02-13
154,38,26081,1971-05-02
155,146,16181,2016-09-18
156,150,16441,1976-04-12
157,60,10714,1973-01-13
158,49,23072,2012-05-30
159,146,16915,2000-03-20
160,111,9842,1989-01-14
161,133,17411,1994-09-04
162,9,28673,2010-06-02
163,144,9552,2011-11-04
164,54,22705,2016-04-28
165,119,24613,1971-12-22
166,68,12200,2000-02-08
167,144,29067,2001-10-01
168,80,6023,1996-02-06
169,43,9470,2015-10-23
170,81,13970,2015-10-02
171,22,19650,2003-08-27
172,113,26007,2000-07-02
173,117,6809,1988-07-26
174,9,27189,2015-02-20
175,136,19274,1999-11-22
176,71,22379,1972-06-03
177,16,27567,2008-06-07
178,119,23719,2004-06-01
179,57,29959,1995-03-22
180,24,22286,2003-01-27
181,84,22769,2009-10-16
182,29,23117,1979-07-01
183,60,5243,2019-01-21
184,60,22564,1983-05-09
185,104,9903,2019-06-12
186,12,29749,2018-02-14
187,119,26238,2010-09-09
188,28,16385,1984-04-16
189,40,12185,1974-05-13
190,138,25185,1996-04-25
191,147,21147,1981-03-29
192,136,6770,1979-08-12
193,146,20598,1993-09-29
194,54,12770,1974-05-29
195,44,23494,1971-05-29
196,8,13288,2016-11-13
197,128,7395,1973-10-26
198,60,13078,2003-01-16
199,7,9344,2004-07-07
200,136,7543,1971-11-22
201,97,13546,2001-01-01
202,123,18560,1987-05-19
203,68,14167,2012-01-02
204,150,10277,1970-02-25
205,68,8853,2018-04-29
206,121,29287,1989-01-05
207,145,19213,1982-07-22
208,4,12204,2011-01-13
209,3,27219,1977-06-11
210,119,7397,2011-05-29
211,84,12802,1981-04-02
212,100,24570,1990-01-19
213,12,26278,2010-08-18
214,89,21634,2011-07-11
215,33,23786,2018-08-25
216,4,17435,1974-03-09
217,32,24897,2002-08-06
218,109,9454,2000-02-04
219,64,18534,2013-12-21
220,16,16846,1997-02-20
221,127,17942,2001-10-04
222,9,18526,2006-05-22
223,118,8541,2003-07-23
224,68,5680,2010-09-11
225,11,14209,2008-05-05
226,77,6461,1989-10-13
227,119,17116,1977-11-16
228,59,28258,1973-12-15
229,107,29527,2011-09-26
230,131,25242,1992-03-25
231,19,8227,2014-09-24
232,132,15829,1997-08-12
233,138,29128,1997-09-20
234,128,17498,2019-04-18
235,150,14906,1971-07-15
236,14,25054,1983-11-08
237,50,19388,1976-04-16
238,73,7291,1994-04-21
239,65,18724,2017-07-14
240,44,23682,2005-10-03
241,123,26781,1980-09-30
242,149,20812,1996-08-30
243,10,5204,2002-06-13
244,27,18825,2004-02-18
245,11,20577,1974-04-06
246,133,19951,2004-04-04
247,93,18347,1985-01-22
248,115,28824,1978-08-24
249,150,13429,2013-05-06
250,38,16367,2001-10-05
251,79,5490,2014-05-11
252,137,27136,1981-10-20
253,114,13611,1994-08-23
254,82,7412,2018-08-06
255,54,7419,2006-08-24
256,38,26658,1986-03-13
257,144,20251,1979-10-14
258,141,13628,2007-08-12
259,8,13761,1991-01-02
260,142,10926,1973-04-30
261,119,16659,2010-07-08
262,129,15189,2018-02-02
263,4,26336,1993-01-20
264,56,5186,2004-09-30
265,128,11193,1990-04-06
266,150,22778,1998-06-13
267,33,9321,1983-11-27
268,141,10644,1979-12-21
269,18,8275,1993-02-26
270,43,11912,2004-10-22
271,50,27208,1977-01-29
272,11,28429,2003-10-19
273,39,5329,1998-01-05
274,19,8470,2007-01-08
275,138,10159,2007-10-04
276,74,27064,2011-04-25
277,120,24589,1998-03-07
278,25,5264,2007-06-02
279,51,10664,1996-10-12
280,59,5066,1986-08-13
281,85,20803,1996-03-17
282,86,21674,2017-10-02
283,101,23092,2014-07-19
284,32,26453,1989-01-25
285,150,20155,1986-11-19
286,141,19578,1998-01-24
287,3,6294,1978-09-21
288,28,20425,2013-10-03
289,77,16614,1999-06-11
290,55,24109,2008-02-14
291,60,19925,2001-06-22
292,130,28405,1994-09-06
293,108,8768,1974-10-03
294,150,20675,1980-12-29
295,14,12558,2015-08-25
296,143,11883,1980-07-15
297,78,25523,2015-01-06
298,22,29493,1987-05-24
299,147,12716,1983-07-01
300,113,17280,2014-03-04
301,52,18151,2005-05-11
302,20,16614,2006-01-27
303,43,13918,1999-03-25
304,104,16469,1987-08-14
